iter	Passed	Remaining
465	702	804
466	702	802
467	703	799
468	703	797
469	704	794
470	705	792
471	705	789
472	706	787
473	707	784
474	707	782
475	708	779
476	709	777
477	709	775
478	710	772
479	711	770
480	711	767
481	712	765
482	712	763
483	713	760
484	714	758
485	714	755
486	715	753
487	716	751
488	716	748
489	717	746
490	718	744
491	718	742
492	719	739
493	720	737
494	720	735
495	721	732
496	721	730
497	722	728
498	723	726
499	723	723
500	724	721
501	725	719
502	726	717
503	726	715
504	727	712
505	728	710
506	728	708
507	729	706
508	730	704
509	730	702
510	731	700
511	732	697
512	733	695
513	733	693
514	734	691
515	735	689
516	735	687
517	736	685
518	737	683
519	737	680
520	738	678
521	739	676
522	739	674
523	740	672
524	741	670
525	741	668
526	742	666
527	742	664
528	743	661
529	744	659
530	744	657
531	745	655
532	745	653
533	746	651
534	747	649
535	747	647
536	748	645
537	749	643
538	749	641
539	750	639
540	751	637
541	751	635
542	752	633
543	753	631
544	753	629
545	754	627
546	755	625
547	756	623
548	756	621
549	757	619
550	757	617
551	758	615
552	759	613
553	759	611
554	760	609
555	760	607
556	761	605
557	762	603
558	763	602
559	763	600
560	764	598
561	765	596
562	766	594
563	767	593
564	767	591
565	768	589
566	768	587
567	769	585
568	770	583
569	771	581
570	771	579
571	772	578
572	773	576
573	773	574
574	774	572
575	775	570
576	776	568
577	776	567
578	777	565
579	778	563
580	778	561
581	779	559
582	780	557
583	780	556
584	781	554
585	781	552
586	782	550
587	783	548
588	783	547
589	784	545
590	785	543
591	786	541
592	786	540
593	787	538
594	788	536
595	788	534
596	789	532
597	789	531
598	790	529
599	791	527
600	791	525
601	792	523
602	793	522
603	793	520
604	794	518
605	795	516
606	795	515
607	796	513
608	796	511
609	797	509
610	798	508
611	798	506
612	799	504
613	800	503
614	800	501
615	801	499
616	802	497
617	802	496
618	803	494
619	803	492
620	804	491
621	805	489
622	806	487
623	806	486
624	807	484
625	808	482
626	808	481
627	809	479
628	810	477
629	810	476
630	811	474
631	811	472
632	812	471
633	813	469
634	813	467
635	814	466
636	815	464
637	815	462
638	816	461
639	817	459
640	817	458
641	818	456
642	819	454
643	819	453
644	820	451
645	821	449
646	821	448
647	822	446
648	823	445
649	823	443
650	824	442
651	825	440
652	826	438
653	826	437
654	827	435
655	828	434
656	828	432
657	829	431
658	830	429
659	830	427
660	831	426
661	831	424
662	832	423
663	833	421
664	833	420
665	834	418
666	835	416
667	835	415
668	836	413
669	837	412
670	837	410
671	838	409
672	839	407
673	839	406
674	840	404
675	841	403
676	841	401
677	842	400
678	842	398
679	843	396
680	844	395
681	844	393
682	845	392
683	846	390
684	846	389
685	847	387
686	848	386
687	848	384
688	849	383
689	849	381
690	850	380
691	851	378
692	851	377
693	852	375
694	853	374
695	853	372
696	854	371
697	855	369
698	855	368
699	856	366
700	856	365
701	857	364
702	858	362
703	858	361
704	859	359
705	860	358
706	861	356
707	861	355
708	862	353
709	863	352
710	863	351
711	864	349
712	864	348
713	865	346
714	866	345
715	866	343
716	867	342
717	868	340
718	868	339
719	869	338
720	869	336
721	870	335
722	871	333
723	871	332
724	872	330
725	873	329
726	873	328
727	874	326
728	875	325
729	875	323
730	876	322
731	876	321
732	877	319
733	878	318
734	878	316
735	879	315
736	880	314
737	880	312
738	881	311
739	882	309
740	882	308
741	883	307
742	884	305
743	884	304
744	885	303
745	886	301
746	886	300
747	887	298
748	888	297
749	888	296
750	889	294
751	890	293
752	890	292
753	891	290
754	891	289
755	892	288
756	893	286
757	893	285
758	894	283
759	894	282
760	895	281
761	896	279
762	896	278
763	897	277
764	898	275
765	898	274
766	899	273
767	900	271
768	900	270
769	901	269
770	902	267
771	902	266
772	903	265
773	904	263
774	904	262
775	905	261
776	906	260
777	906	258
778	907	257
779	907	256
780	908	254
781	909	253
782	909	252
783	910	250
784	911	249
785	911	248
786	912	246
787	913	245
788	913	244
789	914	243
790	915	241
791	916	240
792	917	239
793	917	238
794	918	236
795	919	235
796	919	234
797	920	233
798	921	231
799	922	230
800	922	229
801	923	227
802	923	226
803	924	225
804	925	224
805	925	222
806	926	221
807	927	220
808	927	219
809	928	217
810	929	216
811	929	215
812	930	214
813	931	212
814	931	211
815	932	210
816	933	208
817	933	207
818	934	206
819	935	205
820	935	204
821	936	202
822	937	201
823	937	200
824	938	199
825	938	197
826	939	196
827	940	195
828	940	194
829	941	192
830	942	191
831	942	190
832	943	189
833	944	187
834	945	186
835	945	185
836	946	184
837	947	183
838	948	181
839	949	180
840	950	179
841	951	178
842	951	177
843	952	176
844	953	174
845	954	173
846	955	172
847	955	171
848	956	170
849	957	169
850	958	167
851	959	166
852	960	165
853	960	164
854	961	163
855	962	161
856	963	160
857	963	159
858	964	158
859	965	157
860	966	156
861	967	154
862	968	153
863	969	152
864	969	151
865	970	150
866	971	148
867	972	147
868	972	146
869	973	145
870	974	144
871	975	143
872	975	141
873	976	140
874	977	139
875	978	138
876	979	137
877	980	136
878	981	135
879	981	133
880	982	132
881	983	131
882	984	130
883	985	129
884	986	128
885	987	127
886	988	125
887	989	124
888	989	123
889	990	122
890	991	121
891	992	120
892	993	118
893	993	117
894	994	116
895	995	115
896	996	114
897	997	113
898	997	112
899	998	110
900	999	109
901	1000	108
902	1000	107
903	1001	106
904	1002	105
905	1003	104
906	1004	102
907	1005	101
908	1005	100
909	1006	99
910	1007	98
911	1008	97
912	1009	96
913	1009	95
914	1010	93
915	1011	92
916	1011	91
917	1012	90
918	1013	89
919	1014	88
920	1014	87
921	1015	85
922	1016	84
923	1016	83
924	1017	82
925	1018	81
926	1019	80
927	1019	79
928	1020	77
929	1020	76
930	1021	75
931	1022	74
932	1022	73
933	1023	72
934	1024	71
935	1024	70
936	1025	68
937	1026	67
938	1026	66
939	1027	65
940	1028	64
941	1029	63
942	1029	62
943	1030	61
944	1031	60
945	1031	58
946	1032	57
947	1033	56
948	1033	55
949	1034	54
950	1035	53
951	1035	52
952	1036	51
953	1036	49
954	1037	48
955	1038	47
956	1038	46
957	1039	45
958	1040	44
959	1041	43
960	1041	42
961	1042	41
962	1043	40
963	1044	38
964	1044	37
965	1045	36
966	1046	35
967	1047	34
968	1047	33
969	1048	32
970	1049	31
971	1049	30
972	1050	29
973	1051	28
974	1051	26
975	1052	25
976	1053	24
977	1053	23
978	1054	22
979	1055	21
980	1055	20
981	1056	19
982	1057	18
983	1057	17
984	1058	16
985	1059	15
986	1059	13
987	1060	12
988	1060	11
989	1061	10
990	1062	9
991	1063	8
992	1063	7
993	1064	6
994	1064	5
995	1065	4
996	1066	3
997	1066	2
998	1067	1
999	1068	0
